2026-07-15 16:32:20 | INFO     | [THEME]    Wallpaper   : Uplifting sunrise, rainbows and spring blossoms
2026-07-15 16:32:20 | INFO     | [MESSAGE]  The sun always rises after the darkest night. You've got this!
2026-07-15 16:32:20 | INFO     | --------------------------------------------------
2026-07-15 16:32:20 | INFO     | Wallpaper selected: sad_uplift_sunrise.jpg
2026-07-15 16:32:21 | INFO     | Wallpaper updated successfully to: C:\Users\vishn\OneDrive\Desktop\My_desktop\MoodWallpaper\wallpapers\sad\sad_uplift_sunrise.jpg
2026-07-15 16:32:21 | INFO     | Wallpaper changed to support mood: sad
2026-07-15 16:32:21 | INFO     | Application finished.
2026-07-15 16:32:21 | INFO     | ============================================================
2026-07-15 16:32:50 | INFO     | ============================================================
2026-07-15 16:32:50 | INFO     | Mood-Based Dynamic Wallpaper System — Application started
2026-07-15 16:32:50 | INFO     | ============================================================
2026-07-15 16:32:50 | INFO     | Initializing webcam (index=0)...
2026-07-15 16:32:51 | INFO     | Camera initialized successfully.
2026-07-15 16:32:51 | INFO     | Image captured successfully (resolution: 640x480).
2026-07-15 16:32:52 | INFO     | Webcam released.
2026-07-15 16:32:52 | INFO     | Face detected (1 face(s) found).
2026-07-15 16:32:53 | INFO     | Analyzing emotion...
2026-07-15 16:32:53 | INFO     | Emotion detected: fear
2026-07-15 16:32:53 | INFO     | Emotion scores: {'angry': np.float32(2.0692856e-05), 'disgust': np.float32(3.0903808e-12), 'fear': np.float32(99.4609), 'happy': np.float32(0.0007538405), 'sad': np.float32(0.52159524), 'surprise': np.float32(0.006645584), 'neutral': np.float32(0.010092114)}
2026-07-15 16:32:53 | INFO     | --------------------------------------------------
2026-07-15 16:32:53 | INFO     | [EMOTION]  Detected    : FEAR
2026-07-15 16:32:53 | INFO     | [GOAL]     Therapeutic : Reduce anxiety
2026-07-15 16:32:53 | INFO     | [THEME]    Wallpaper   : Warm cozy lighting, safe meadows and gentle scenes
2026-07-15 16:32:53 | INFO     | [MESSAGE]  You are not alone. This moment will pass, and you will be just fine.
2026-07-15 16:32:53 | INFO     | --------------------------------------------------
2026-07-15 16:32:53 | INFO     | Wallpaper selected: fear_safe_gentle_meadow.jpg
2026-07-15 16:32:54 | INFO     | Wallpaper updated successfully to: C:\Users\vishn\OneDrive\Desktop\My_desktop\MoodWallpaper\wallpapers\fear\fear_safe_gentle_meadow.jpg
2026-07-15 16:32:54 | INFO     | Wallpaper changed to support mood: fear
2026-07-15 16:32:54 | INFO     | Application finished.
2026-07-15 16:32:54 | INFO     | ============================================================
2026-07-15 16:33:24 | INFO     | ============================================================
2026-07-15 16:33:24 | INFO     | Mood-Based Dynamic Wallpaper System — Application started
2026-07-15 16:33:24 | INFO     | ============================================================
2026-07-15 16:33:24 | INFO     | Initializing webcam (index=0)...
2026-07-15 16:33:25 | INFO     | Camera initialized successfully.
2026-07-15 16:33:25 | INFO     | Image captured successfully (resolution: 640x480).
2026-07-15 16:33:26 | INFO     | Webcam released.
2026-07-15 16:33:26 | INFO     | Face detected (1 face(s) found).
2026-07-15 16:33:27 | INFO     | Analyzing emotion...
2026-07-15 16:33:27 | INFO     | Emotion detected: happy
2026-07-15 16:33:27 | INFO     | Emotion scores: {'angry': np.float32(6.1616284e-08), 'disgust': np.float32(3.6653042e-22), 'fear': np.float32(3.73606e-09), 'happy': np.float32(100.0), 'sad': np.float32(4.4140302e-07), 'surprise': np.float32(1.6147611e-13), 'neutral': np.float32(4.1182335e-13)}
2026-07-15 16:33:27 | INFO     | --------------------------------------------------
2026-07-15 16:33:27 | INFO     | [EMOTION]  Detected    : HAPPY
2026-07-15 16:33:27 | INFO     | [GOAL]     Therapeutic : Maintain happiness
2026-07-15 16:33:27 | INFO     | [THEME]    Wallpaper   : Vibrant nature and joyful scenery
2026-07-15 16:33:27 | INFO     | [MESSAGE]  A happy you makes everything better. Enjoy your day to the fullest!
2026-07-15 16:33:27 | INFO     | --------------------------------------------------
2026-07-15 16:33:27 | INFO     | Wallpaper selected: happy_bright_forest.jpg
2026-07-15 16:33:28 | INFO     | Wallpaper updated successfully to: C:\Users\vishn\OneDrive\Desktop\My_desktop\MoodWallpaper\wallpapers\happy\happy_bright_forest.jpg
2026-07-15 16:33:28 | INFO     | Wallpaper changed to support mood: happy
2026-07-15 16:33:28 | INFO     | Application finished.
2026-07-15 16:33:28 | INFO     | ============================================================
